id,name,limit,lowalch,highalch,members
10344,3rd age amulet,8.0,20200.0,30300.0,True
20011,3rd age axe,40.0,22000.0,33000.0,True
12424,3rd age bow,8.0,60000.0,90000.0,True
12437,3rd age cloak,8.0,34000.0,51000.0,True
23345,3rd age druidic cloak,8.0,80000.0,120000.0,True
23339,3rd age druidic robe bottoms,4.0,80000.0,120000.0,True
23336,3rd age druidic robe top,4.0,80000.0,120000.0,True
23342,3rd age druidic staff,8.0,80000.0,120000.0,True
28226,3rd age felling axe,999.0,22000.0,33000.0,True
10350,3rd age full helmet,8.0,36000.0,54000.0,True
10352,3rd age kiteshield,8.0,72000.0,108000.0,True
12426,3rd age longsword,8.0,60000.0,90000.0,True
10342,3rd age mage hat,8.0,20160.0,30240.0,True
20014,3rd age pickaxe,40.0,39180.0,58770.0,True
10348,3rd age platebody,8.0,80000.0,120000.0,True
10346,3rd age platelegs,8.0,80000.0,120000.0,True
23242,3rd age plateskirt,8.0,80000.0,120000.0,True
10334,3rd age range coif,8.0,20160.0,30240.0,True
10332,3rd age range legs,8.0,20240.0,30360.0,True
10330,3rd age range top,8.0,20320.0,30480.0,True
10340,3rd age robe,8.0,20240.0,30360.0,True
10338,3rd age robe top,8.0,20320.0,30480.0,True
10336,3rd age vambraces,8.0,20200.0,30300.0,True
12422,3rd age wand,8.0,60000.0,90000.0,True
10392,A powdered wig,4.0,800.0,1200.0,True
25775,Abyssal ashes,7500.0,1.0,1.0,True
13263,Abyssal bludgeon,8.0,104000.0,156000.0,True
11095,Abyssal bracelet(5),10000.0,1680.0,2520.0,True
13265,Abyssal dagger,8.0,46000.0,69000.0,True
13267,Abyssal dagger (p),8.0,46000.0,69001.0,True
13269,Abyssal dagger (p+),8.0,46001.0,69001.0,True
13271,Abyssal dagger (p++),8.0,46001.0,69002.0,True
4151,Abyssal whip,70.0,48000.0,72000.0,True
30682,Accumulation charm,999.0,4000.0,6000.0,True
27676,Accursed sceptre (au),8.0,48000.0,72000.0,True
27662,Accursed sceptre (u),8.0,70000.0,105000.0,True
2862,Achey tree logs,13000.0,1.0,2.0,True
5312,Acorn,200.0,2.0,3.0,True
1317,Adamant 2h sword,125.0,2560.0,3840.0,False
890,Adamant arrow,11000.0,32.0,48.0,False
891,Adamant arrow(p),11000.0,32.0,48.0,True
5620,Adamant arrow(p+),11000.0,32.0,48.0,True
5626,Adamant arrow(p++),11000.0,32.0,48.0,True
43,Adamant arrowtips,10000.0,16.0,24.0,True
1357,Adamant axe,40.0,512.0,768.0,False
1371,Adamant battleaxe,125.0,1664.0,2496.0,False
9143,Adamant bolts,11000.0,23.0,34.0,True
9290,Adamant bolts (p),11000.0,23.0,34.0,True
9297,Adamant bolts (p+),11000.0,23.0,34.0,True
9304,Adamant bolts (p++),11000.0,23.0,34.0,True
9380,Adamant bolts(unf),13000.0,1.0,1.0,True
4129,Adamant boots,125.0,768.0,1152.0,True
4798,Adamant brutal,11000.0,38.0,57.0,True
12377,Adamant cane,4.0,576.0,864.0,True
31912,Adamant cannonball,11000.0,72.0,108.0,True
1111,Adamant chainbody,125.0,1920.0,2880.0,False
3100,Adamant claws,125.0,480.0,720.0,True
9183,Adamant crossbow,70.0,706.0,1060.0,True
9463,Adamant crossbow (u),10000.0,693.0,1039.0,True
1211,Adamant dagger,125.0,320.0,480.0,False
1227,Adamant dagger(p),125.0,320.0,480.0,True
5676,Adamant dagger(p+),125.0,320.0,480.0,True
5694,Adamant dagger(p++),125.0,320.0,480.0,True
810,Adamant dart,11000.0,26.0,39.0,True
823,Adamant dart tip,20000.0,14.0,21.0,True
816,Adamant dart(p),11000.0,26.0,39.0,True
5633,Adamant dart(p+),11000.0,26.0,39.0,True
5640,Adamant dart(p++),11000.0,26.0,39.0,True
23270,Adamant dragon mask,4.0,4000.0,6000.0,True
28211,Adamant felling axe,999.0,512.0,768.0,True
1161,Adamant full helm,125.0,1408.0,2112.0,False
2613,Adamant full helm (g),8.0,1408.0,2112.0,False
2605,Adamant full helm (t),8.0,1408.0,2112.0,False
13020,Adamant gold-trimmed set (lg),8.0,3200.0,4800.0,False
13022,Adamant gold-trimmed set (sk),8.0,3200.0,4800.0,False
3200,Adamant halberd,125.0,2560.0,3840.0,True
11375,Adamant hasta,125.0,832.0,1248.0,True
11407,Adamant hasta(p),125.0,832.0,1248.0,True
11410,Adamant hasta(p+),125.0,832.0,1248.0,True
11412,Adamant hasta(p++),125.0,832.0,1248.0,True
10296,Adamant helm (h1),70.0,1408.0,2112.0,False
10298,Adamant helm (h2),70.0,1408.0,2112.0,False
10300,Adamant helm (h3),70.0,1408.0,2112.0,False
10302,Adamant helm (h4),70.0,1408.0,2112.0,False
10304,Adamant helm (h5),70.0,1408.0,2112.0,False
829,Adamant javelin,11000.0,64.0,96.0,True
19578,Adamant javelin tips,10000.0,176.0,264.0,True
835,Adamant javelin(p),11000.0,64.0,96.0,True
5646,Adamant javelin(p+),11000.0,64.0,96.0,True
5652,Adamant javelin(p++),11000.0,64.0,96.0,True
32011,Adamant keel parts,100.0,1250.0,1875.0,True
1199,Adamant kiteshield,125.0,2176.0,3264.0,False
2611,Adamant kiteshield (g),8.0,2176.0,3264.0,False
2603,Adamant kiteshield (t),8.0,2176.0,3264.0,False
867,Adamant knife,11000.0,26.0,39.0,True
